item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD00428,PROD0187,4,11198.63,86
ITEM00002,ORD00500,PROD0346,4,4615.78,69
ITEM00003,ORD00494,PROD0071,2,8715.5,97
ITEM00004,ORD00172,PROD0263,1,2303.04,35
ITEM00005,ORD00087,PROD0420,2,352.81,70
ITEM00006,ORD00474,PROD0483,2,9616.72,17
ITEM00007,ORD00324,PROD0313,1,5715.84,99
ITEM00008,ORD00250,PROD0095,-2,3785.79,0
ITEM00009,ORD00362,PROD0035,2,3011.0,36
ITEM00010,ORD00406,PROD0438,4,602.4,88
ITEM00011,ORD00328,PROD0130,2,4693.99,57
ITEM00012,ORD00090,PROD0085,4,3230.49,4
ITEM00013,ORD00256,PROD0265,5,4299.22,11
ITEM00014,ORD00003,PROD0180,3,7782.81,24
ITEM00015,ORD00049,PROD0418,1,5783.38,97
ITEM00016,ORD00238,PROD0439,5,4710.31,84
ITEM00017,ORD00100,PROD0447,2,144.29,19
ITEM00018,ORD00082,PROD0212,4,2158.36,5
ITEM00019,ORD00146,PROD0211,1,2617.16,32
ITEM00020,ORD00456,PROD0236,3,7060.03,5
ITEM00021,ORD00474,PROD0347,1,4940.66,20
ITEM00022,ORD00060,PROD0388,1,4997.3,30
ITEM00023,ORD00167,PROD0051,4,3966.7,95
ITEM00024,ORD00057,PROD0449,3,1295.33,12
ITEM00025,ORD00446,PROD0145,2,1482.43,28
ITEM00026,ORD00249,PROD0380,1,3787.57,55
ITEM00027,ORD00313,PROD0240,2,6524.81,49
ITEM00028,ORD00369,PROD0032,3,1110.72,45
ITEM00029,ORD00066,PROD0147,3,5127.66,72
ITEM00030,ORD00057,PROD0498,1,10955.76,58
ITEM00031,ORD00176,PROD0431,4,5607.3,37
ITEM00032,ORD00407,PROD0115,5,9621.26,78
ITEM00033,ORD00284,PROD0469,2,5253.61,11
ITEM00034,ORD00251,PROD0078,4,1596.57,27
ITEM00035,ORD00237,PROD0318,5,3067.02,93
ITEM00036,ORD00127,PROD0011,4,2383.52,55
ITEM00037,ORD00475,PROD0410,5,5886.07,19
ITEM00038,ORD00214,PROD0357,5,5043.37,5
ITEM00039,ORD00259,PROD0459,4,855.15,67
ITEM00040,ORD00409,PROD0196,4,4061.1,12
ITEM00041,ORD00043,PROD0260,4,3902.12,1
ITEM00042,ORD00068,PROD0458,4,1861.54,30
ITEM00043,ORD00343,PROD0036,-1,7594.69,90
ITEM00044,ORD00383,PROD0293,4,4885.61,58
ITEM00045,ORD00448,PROD0298,4,306.1,23
ITEM00046,ORD00361,PROD0257,3,6562.91,80
ITEM00047,ORD00354,PROD0213,1,1962.35,4
ITEM00048,ORD00139,PROD0372,3,8429.51,78
ITEM00049,ORD00107,PROD0345,5,7251.68,10
ITEM00050,ORD00377,PROD0037,5,4582.5,65
ITEM00051,ORD00057,PROD0418,3,4898.37,59
ITEM00052,ORD00188,PROD0004,5,4998.34,71
ITEM00053,ORD00397,PROD0191,1,4439.2,42
ITEM00054,ORD00333,PROD0033,2,6816.97,96
ITEM00055,ORD00360,PROD0309,5,6651.21,95
ITEM00056,ORD00460,PROD0049,2,7465.04,87
ITEM00057,ORD00033,PROD0172,4,2678.96,57
ITEM00058,ORD00425,PROD0142,4,1409.02,90
ITEM00059,ORD00273,PROD0419,5,11317.66,57
ITEM00060,ORD00345,PROD0466,5,11937.39,8
ITEM00061,ORD00235,PROD0259,2,5760.11,50
ITEM00062,ORD00490,PROD0274,2,2160.39,21
ITEM00063,ORD00076,PROD0023,3,4418.99,26
ITEM00064,ORD00012,PROD0067,5,2551.96,87
ITEM00065,ORD00243,PROD0441,5,8103.22,56
ITEM00066,ORD00033,PROD0127,1,5149.66,29
ITEM00067,ORD00211,PROD0484,5,9680.68,83
ITEM00068,ORD00341,PROD0145,3,2138.35,70
ITEM00069,ORD00291,PROD0140,4,418.79,39
ITEM00070,ORD00117,PROD0045,2,2315.91,36
ITEM00071,ORD00146,PROD0032,1,1370.97,21
ITEM00072,ORD00365,PROD0102,5,8100.61,23
ITEM00073,ORD00355,PROD0221,2,3023.57,19
ITEM00074,ORD00022,PROD0150,2,12215.64,73
ITEM00075,ORD00190,PROD0360,2,3931.87,71
ITEM00076,ORD00177,PROD0099,1,2069.25,57
ITEM00077,ORD00274,PROD0146,5,4210.04,3
ITEM00078,ORD00394,PROD0486,4,2532.48,58
ITEM00079,ORD00497,PROD0160,3,2043.44,64
ITEM00080,ORD00152,PROD0389,3,7988.7,37
ITEM00081,ORD00410,PROD0449,5,1543.26,56
ITEM00082,ORD00375,PROD0023,3,4364.98,5
ITEM00083,ORD00060,PROD0142,2,1658.78,51
ITEM00084,ORD00229,PROD0264,5,6080.19,41
ITEM00085,ORD00100,PROD0290,1,5800.49,28
ITEM00086,ORD00043,PROD0489,3,196.36,57
ITEM00087,ORD00202,PROD0091,1,2300.95,40
ITEM00088,ORD00484,PROD0279,5,5410.87,85
ITEM00089,ORD00367,PROD0345,3,7531.92,47
ITEM00090,ORD00146,PROD0408,4,1387.5,39
ITEM00091,ORD00045,PROD0407,4,1338.54,56
ITEM00092,ORD00148,PROD0446,4,1754.42,93
ITEM00093,ORD00213,PROD0308,4,5945.72,75
ITEM00094,ORD00107,PROD0100,5,568.48,67
ITEM00095,ORD00492,PROD0474,3,1629.98,48
ITEM00096,ORD00328,PROD0362,-1,7394.11,53
ITEM00097,ORD00364,PROD0086,2,1790.69,17
ITEM00098,ORD00196,PROD0064,2,2861.87,62
ITEM00099,ORD00155,PROD0304,1,4774.49,38
ITEM00100,ORD00238,PROD0083,4,2523.3,0
ITEM00101,ORD00490,PROD0303,2,2865.91,81
ITEM00102,ORD00341,PROD0463,4,11694.64,53
ITEM00103,ORD00353,PROD0150,2,9991.63,3
ITEM00104,ORD00253,PROD0441,1,12236.16,8
ITEM00105,ORD00298,PROD0119,5,7005.25,55
ITEM00106,ORD00244,PROD0454,3,11438.83,15
ITEM00107,ORD00295,PROD0290,3,3621.67,33
ITEM00108,ORD00075,PROD0368,2,1272.19,88
ITEM00109,ORD00028,PROD0494,2,7472.72,53
ITEM00110,ORD00150,PROD0193,3,6920.94,9
ITEM00111,ORD00322,PROD0014,5,2933.18,12
ITEM00112,ORD00279,PROD0312,5,5817.31,40
ITEM00113,ORD00358,PROD0064,3,3803.33,12
ITEM00114,ORD00422,PROD0244,5,1046.35,17
ITEM00115,ORD00399,PROD0357,5,3730.93,43
ITEM00116,ORD00080,PROD0368,2,1460.25,24
ITEM00117,ORD00426,PROD0387,5,7744.54,68
ITEM00118,ORD00411,PROD0482,5,1895.48,58
ITEM00119,ORD00068,PROD0057,1,8063.13,61
ITEM00120,ORD00186,PROD0471,3,1274.61,56
ITEM00121,ORD00497,PROD0282,5,7474.09,90
ITEM00122,ORD00418,PROD0352,-3,783.19,16
ITEM00123,ORD00158,PROD0179,2,338.56,16
ITEM00124,ORD00391,PROD0263,1,3986.15,9
ITEM00125,ORD00388,PROD0398,1,2540.05,25
ITEM00126,ORD00338,PROD0488,1,700.73,7
ITEM00127,ORD00130,PROD0109,4,748.22,38
ITEM00128,ORD00401,PROD0422,1,3477.37,77
ITEM00129,ORD00103,PROD0259,2,6315.8,44
ITEM00130,ORD00434,PROD0100,1,773.82,35
ITEM00131,ORD00083,PROD0146,5,6113.12,99
ITEM00132,ORD00292,PROD0193,5,4723.32,74
ITEM00133,ORD00367,PROD0167,1,5235.24,36
ITEM00134,ORD00276,PROD0246,2,4858.41,92
ITEM00135,ORD00472,PROD0050,1,4061.11,90
ITEM00136,ORD00302,PROD0222,4,514.62,86
ITEM00137,ORD00182,PROD0075,1,3683.61,54
ITEM00138,ORD00209,PROD0326,2,1253.18,40
ITEM00139,ORD00267,PROD0072,1,473.36,97
ITEM00140,ORD00286,PROD0418,3,6170.5,10
ITEM00141,ORD00198,PROD0028,3,4919.08,76
ITEM00142,ORD00431,PROD0449,3,1417.5,70
ITEM00143,ORD00438,PROD0102,4,7504.3,8
ITEM00144,ORD00189,PROD0428,4,529.73,86
ITEM00145,ORD00203,PROD0199,4,1388.91,84
ITEM00146,ORD00203,PROD0038,1,1772.54,75
ITEM00147,ORD00457,PROD0104,1,1272.97,8
ITEM00148,ORD00174,PROD0420,3,244.74,51
ITEM00149,ORD00218,PROD0390,1,240.25,35
ITEM00150,ORD00388,PROD0078,5,1531.54,82
ITEM00151,ORD00342,PROD0112,4,7194.34,51
ITEM00152,ORD00076,PROD0298,4,318.31,13
ITEM00153,ORD00255,PROD0472,1,2963.19,17
ITEM00154,ORD00028,PROD0439,1,4877.15,63
ITEM00155,ORD00196,PROD0050,1,4346.75,41
ITEM00156,ORD00320,PROD0002,2,1657.03,9
ITEM00157,ORD00406,PROD0169,5,5864.36,37
ITEM00158,ORD00134,PROD0161,4,9223.02,69
ITEM00159,ORD00392,PROD0415,-5,4890.63,55
ITEM00160,ORD00162,PROD0354,1,7891.22,56
ITEM00161,ORD00091,PROD0492,4,3713.81,99
ITEM00162,ORD00085,PROD0246,3,7410.46,17
ITEM00163,ORD00250,PROD0164,3,1523.58,72
ITEM00164,ORD00351,PROD0097,4,3389.57,60
ITEM00165,ORD00081,PROD0186,4,3684.54,50
ITEM00166,ORD00498,PROD0171,3,7715.8,86
ITEM00167,ORD00146,PROD0279,3,6872.2,3
ITEM00168,ORD00429,PROD0066,5,5571.08,94
ITEM00169,ORD00457,PROD0309,-5,9089.83,48
ITEM00170,ORD00183,PROD0344,1,5826.1,7
ITEM00171,ORD00332,PROD0229,2,6750.9,10
ITEM00172,ORD00059,PROD0457,1,2685.72,2
ITEM00173,ORD00236,PROD0004,5,7194.1,54
ITEM00174,ORD00216,PROD0250,5,3503.09,89
ITEM00175,ORD00163,PROD0372,4,6763.93,49
ITEM00176,ORD00414,PROD0049,3,8850.9,88
ITEM00177,ORD00258,PROD0438,2,616.22,85
ITEM00178,ORD00154,PROD0080,3,6247.84,55
ITEM00179,ORD00434,PROD0399,2,8088.75,9
ITEM00180,ORD00136,PROD0399,5,4138.24,73
ITEM00181,ORD00320,PROD0080,4,8091.26,11
ITEM00182,ORD00173,PROD0200,5,4854.09,72
ITEM00183,ORD00108,PROD0407,5,1493.25,9
ITEM00184,ORD00154,PROD0176,3,5191.7,69
ITEM00185,ORD00206,PROD0296,3,708.7,65
ITEM00186,ORD00281,PROD0300,4,3035.37,2
ITEM00187,ORD00296,PROD0323,5,5210.81,84
ITEM00188,ORD00327,PROD0156,4,6212.91,78
ITEM00189,ORD00373,PROD0087,4,3650.67,66
ITEM00190,ORD00076,PROD0175,2,4704.89,95
ITEM00191,ORD00211,PROD0346,3,3566.25,8
ITEM00192,ORD00137,PROD0174,2,7293.39,82
