order_id,customer_id,order_date,status
ORD00001,CUST0086,2024-03-20 07:22:00,PLACED
ORD00002,CUST0229,2025-11-17 00:00:00,SHIPPED
ORD00003,CUST0403,2024-09-12 22:04:00,PLACED
ORD00004,CUST0497,2024-02-19 12:28:00,CANCELLED
ORD00005,CUST0052,2025-05-19 12:22:00,RETURNED
ORD00006,CUST0038,2025-10-28 21:14:00,PLACED
ORD00007,CUST0054,2024-10-28 00:20:00,SHIPPED
ORD00008,CUST0483,2025-01-19 05:46:00,PLACED
ORD00009,CUST0361,2024-12-12 00:00:00,SHIPPED
ORD00010,CUST0170,2025-09-13 13:10:00,SHIPPED
ORD00011,CUST0374,2025-02-23 22:35:00,DELIVERED
ORD00012,UNKNOWN,2024-10-31 07:06:00,CANCELLED
ORD00013,UNKNOWN,2024-06-06 01:23:00,RETURNED
ORD00014,UNKNOWN,2025-05-06 06:06:00,DELIVERED
ORD00015,CUST0402,2024-03-24 15:54:00,CANCELLED
ORD00016,CUST0199,2025-11-07 08:05:00,CANCELLED
ORD00017,UNKNOWN,2025-01-13 05:28:00,DELIVERED
ORD00018,CUST0386,2024-08-19 08:36:00,PLACED
ORD00019,CUST0212,2024-03-28 21:22:00,RETURNED
ORD00020,CUST0420,2024-08-20 17:03:00,RETURNED
ORD00021,CUST0154,2025-05-01 18:56:00,PLACED
ORD00022,CUST0293,2025-05-29 18:57:00,RETURNED
ORD00023,CUST0486,2024-05-30 03:48:00,SHIPPED
ORD00024,CUST0350,2024-07-16 04:02:00,SHIPPED
ORD00025,CUST0469,2025-09-01 08:20:00,PLACED
ORD00026,CUST0439,2025-02-01 17:25:00,CANCELLED
ORD00027,CUST0401,2024-01-13 22:39:00,CANCELLED
ORD00028,CUST0389,2024-06-02 04:36:00,PLACED
ORD00029,CUST0147,2024-04-18 18:49:00,DELIVERED
ORD00030,CUST0293,2025-02-24 08:24:00,PLACED
ORD00031,CUST0312,2024-06-25 08:25:00,CANCELLED
ORD00032,CUST0354,2024-02-09 12:56:00,CANCELLED
ORD00033,CUST0407,2024-10-02 11:01:00,DELIVERED
ORD00034,CUST0445,2025-05-18 22:43:00,DELIVERED
ORD00035,CUST0310,2025-03-29 10:17:00,SHIPPED
ORD00036,CUST0380,2025-03-28 06:58:00,RETURNED
ORD00037,CUST0034,2025-01-17 01:32:00,RETURNED
ORD00038,CUST0451,2025-02-17 04:49:00,SHIPPED
ORD00039,CUST0017,2024-07-16 06:53:00,DELIVERED
ORD00040,CUST0259,2024-07-22 08:23:00,PLACED
ORD00041,CUST0305,2025-11-28 00:15:00,CANCELLED
ORD00042,CUST0429,2025-08-23 17:22:00,PLACED
ORD00043,UNKNOWN,2024-10-18 00:24:00,SHIPPED
ORD00044,CUST0138,2024-08-14 20:14:00,RETURNED
ORD00045,CUST0068,2024-01-21 21:00:00,RETURNED
ORD00046,CUST0483,2024-01-09 07:16:00,DELIVERED
ORD00047,CUST0130,2025-03-09 12:54:00,DELIVERED
ORD00048,CUST0300,2025-11-24 16:52:00,RETURNED
ORD00049,CUST0312,2025-11-09 11:35:00,PLACED
ORD00050,CUST0328,2025-05-08 02:21:00,DELIVERED
ORD00051,CUST0334,2024-09-24 20:45:00,SHIPPED
ORD00052,CUST0439,2025-06-13 07:57:00,RETURNED
ORD00053,CUST0370,2025-02-17 00:00:00,CANCELLED
ORD00054,CUST0199,2024-10-29 08:58:00,RETURNED
ORD00055,CUST0114,2025-08-08 06:21:00,CANCELLED
ORD00056,CUST0088,2025-11-18 11:32:00,RETURNED
ORD00057,CUST0380,2024-07-04 09:06:00,RETURNED
ORD00058,CUST0046,2024-07-06 21:57:00,SHIPPED
ORD00059,CUST0191,2024-11-10 13:50:00,DELIVERED
ORD00060,CUST0325,2025-04-19 03:30:00,RETURNED
ORD00061,CUST0062,2024-03-13 15:56:00,CANCELLED
ORD00062,CUST0438,2025-06-26 09:26:00,SHIPPED
ORD00063,CUST0235,2024-12-16 13:36:00,SHIPPED
ORD00064,CUST0091,2024-03-23 15:21:00,PLACED
ORD00065,CUST0397,2024-01-05 14:17:00,SHIPPED
ORD00066,CUST0325,2025-05-16 02:08:00,CANCELLED
ORD00067,UNKNOWN,2025-05-03 12:00:00,DELIVERED
ORD00068,CUST0098,2024-01-15 00:00:00,PLACED
ORD00069,CUST0450,2025-10-03 23:15:00,SHIPPED
ORD00070,CUST0086,2024-04-15 12:32:00,PLACED
ORD00071,CUST0306,2024-11-01 09:29:00,CANCELLED
ORD00072,CUST0385,2024-05-17 10:57:00,CANCELLED
ORD00073,CUST0068,2024-01-20 07:14:00,PLACED
ORD00074,CUST0365,2025-08-26 16:10:00,PLACED
ORD00075,CUST0320,2025-01-19 00:00:00,PLACED
ORD00076,CUST0025,2025-11-08 03:41:00,CANCELLED
ORD00077,CUST0243,2025-03-30 12:07:00,SHIPPED
ORD00078,CUST0052,2025-10-07 00:19:00,DELIVERED
ORD00079,CUST0426,2025-09-29 19:44:00,RETURNED
ORD00080,CUST0055,2025-09-24 03:18:00,RETURNED
ORD00081,CUST0104,2024-07-23 08:53:00,CANCELLED
ORD00082,CUST0467,2024-10-29 05:02:00,CANCELLED
ORD00083,UNKNOWN,2024-12-04 07:00:00,PLACED
ORD00084,CUST0047,2025-08-10 21:31:00,PLACED
ORD00085,CUST0152,2024-04-13 08:41:00,PLACED
ORD00086,UNKNOWN,2024-04-12 05:55:00,DELIVERED
ORD00087,CUST0389,2025-03-12 23:07:00,PLACED
ORD00088,CUST0184,2024-05-21 21:41:00,RETURNED
ORD00089,CUST0176,2024-10-01 23:05:00,CANCELLED
ORD00090,CUST0354,2025-02-13 14:17:00,CANCELLED
ORD00091,CUST0372,2025-10-26 05:07:00,SHIPPED
ORD00092,CUST0411,2024-04-16 13:58:00,CANCELLED
ORD00093,CUST0314,2024-07-04 00:00:00,SHIPPED
ORD00094,CUST0226,2025-05-09 00:00:00,DELIVERED
ORD00095,CUST0348,2025-11-01 10:00:00,RETURNED
ORD00096,CUST0266,2025-08-01 07:42:00,RETURNED
ORD00097,CUST0247,2024-04-07 13:42:00,CANCELLED
ORD00098,CUST0028,2024-06-01 00:00:00,SHIPPED
ORD00099,CUST0085,2025-06-01 15:54:00,CANCELLED
ORD00100,CUST0026,2024-11-24 07:21:00,RETURNED
ORD00101,CUST0041,2025-10-20 12:25:00,RETURNED
ORD00102,CUST0162,2025-04-03 02:54:00,CANCELLED
ORD00103,CUST0019,2025-10-31 00:06:00,PLACED
ORD00104,CUST0456,2024-04-03 19:39:00,SHIPPED
ORD00105,CUST0187,2025-11-01 21:29:00,SHIPPED
ORD00106,CUST0308,2025-04-10 10:35:00,DELIVERED
ORD00107,CUST0114,2025-04-08 00:00:00,DELIVERED
ORD00108,CUST0360,2025-10-10 09:35:00,SHIPPED
ORD00109,CUST0370,2025-05-19 04:52:00,DELIVERED
ORD00110,CUST0437,2025-09-17 06:12:00,CANCELLED
ORD00111,CUST0213,2024-07-14 00:00:00,RETURNED
ORD00112,CUST0490,2024-05-06 14:29:00,CANCELLED
ORD00113,UNKNOWN,2024-01-05 16:47:00,RETURNED
ORD00114,CUST0091,2025-05-09 16:49:00,SHIPPED
ORD00115,CUST0311,2024-05-11 03:24:00,RETURNED
ORD00116,CUST0391,2025-01-28 13:38:00,CANCELLED
ORD00117,CUST0071,2024-12-17 09:28:00,RETURNED
ORD00118,CUST0365,2024-11-02 22:35:00,RETURNED
ORD00119,CUST0366,2025-10-09 06:12:00,DELIVERED
ORD00120,CUST0491,2025-11-19 04:45:00,RETURNED
ORD00121,CUST0181,2025-10-14 10:45:00,RETURNED
ORD00122,CUST0383,2025-08-07 21:45:00,RETURNED
ORD00123,UNKNOWN,2024-10-19 13:51:00,CANCELLED
ORD00124,CUST0137,2024-05-28 01:42:00,SHIPPED
ORD00125,CUST0032,2024-10-20 21:16:00,DELIVERED
ORD00126,CUST0232,2024-07-27 17:02:00,RETURNED
ORD00127,CUST0122,2024-08-17 23:41:00,DELIVERED
ORD00128,CUST0214,2025-11-11 01:59:00,DELIVERED
ORD00129,CUST0104,2025-07-19 01:00:00,CANCELLED
ORD00130,CUST0189,2024-08-18 20:45:00,RETURNED
ORD00131,CUST0100,2025-09-09 06:49:00,SHIPPED
ORD00132,CUST0377,2025-11-30 02:11:00,CANCELLED
ORD00133,CUST0067,2024-02-11 13:17:00,DELIVERED
ORD00134,CUST0080,2024-01-06 00:00:00,DELIVERED
ORD00135,CUST0316,2025-09-03 01:49:00,DELIVERED
ORD00136,CUST0402,2025-05-17 18:35:00,RETURNED
ORD00137,CUST0259,2024-08-13 05:33:00,RETURNED
ORD00138,CUST0453,2025-07-03 12:05:00,DELIVERED
ORD00139,CUST0386,2024-12-05 11:18:00,CANCELLED
ORD00140,CUST0178,2025-07-28 20:00:00,RETURNED
ORD00141,CUST0165,2025-09-28 07:02:00,PLACED
ORD00142,CUST0013,2025-01-30 08:34:00,DELIVERED
ORD00143,CUST0152,2025-06-10 16:28:00,SHIPPED
ORD00144,CUST0086,2024-11-24 16:05:00,RETURNED
ORD00145,CUST0344,2025-06-30 00:40:00,SHIPPED
ORD00146,CUST0360,2025-03-10 03:13:00,CANCELLED
ORD00147,CUST0013,2025-10-24 02:47:00,DELIVERED
ORD00148,CUST0407,2024-02-08 02:04:00,PLACED
ORD00149,CUST0199,2025-08-11 07:58:00,CANCELLED
ORD00150,CUST0061,2025-03-19 10:01:00,RETURNED
ORD00151,UNKNOWN,2024-03-05 23:37:00,DELIVERED
ORD00152,CUST0155,2025-05-29 03:18:00,DELIVERED
ORD00153,CUST0016,2025-03-24 12:25:00,RETURNED
ORD00154,CUST0409,2024-08-13 04:47:00,DELIVERED
ORD00155,CUST0469,2025-10-11 04:19:00,DELIVERED
ORD00156,CUST0064,2024-01-12 00:00:00,RETURNED
ORD00157,CUST0044,2025-09-02 12:34:00,DELIVERED
ORD00158,CUST0263,2024-08-04 13:57:00,SHIPPED
ORD00159,CUST0059,2024-08-14 19:53:00,RETURNED
ORD00160,CUST0038,2024-02-25 17:29:00,PLACED
ORD00161,CUST0250,2024-09-13 03:12:00,DELIVERED
ORD00162,CUST0146,2024-05-11 21:41:00,SHIPPED
ORD00163,CUST0338,2024-11-21 15:28:00,RETURNED
ORD00164,CUST0162,2024-06-05 18:36:00,SHIPPED
ORD00165,CUST0365,2024-01-05 10:15:00,CANCELLED
ORD00166,CUST0170,2024-10-10 11:08:00,CANCELLED
ORD00167,CUST0283,2025-04-01 11:49:00,RETURNED
ORD00168,CUST0457,2024-03-24 08:54:00,DELIVERED
ORD00169,CUST0010,2025-10-03 02:46:00,PLACED
ORD00170,CUST0109,2025-08-18 18:25:00,RETURNED
ORD00171,CUST0242,2024-09-23 17:57:00,SHIPPED
ORD00172,CUST0302,2025-01-09 12:14:00,DELIVERED
ORD00173,CUST0204,2024-05-17 14:32:00,PLACED
ORD00174,CUST0315,2025-11-09 07:54:00,RETURNED
ORD00175,CUST0486,2024-05-23 14:10:00,SHIPPED
