product_id,product_name,category,subcategory,cost_price
PROD0001,Describe Appliances,Home,Appliances,3171.32
PROD0002,Note Fiction,Books,Fiction,1250.37
PROD0003,Them Kitchen,Home,Kitchen,2226.46
PROD0004,Scientist Mobile,Electronics,Mobile,3500.61
PROD0005,Unit Mobile,Electronics,Mobile,374.98
PROD0006,Site Decor,Home,Decor,1296.57
PROD0007,  STAGE EDUCATION  ,Books,Education,4367.11
PROD0008,Learn Shoes,Clothing,Shoes,801.28
PROD0009,Radio Biography,Books,Biography,3367.52
PROD0010,Technology Biography,Books,Biography,874.08
PROD0011,Yard Biography,Books,Biography,1565.86
PROD0012,Away Biography,Books,Biography,1580.4
PROD0013,  SKIN COMICS  ,Books,Comics,1858.9
PROD0014,  rich decor  ,Home,Decor,2039.45
PROD0015,Class Mobile,Electronics,Mobile,3751.34
PROD0016,Agent Kitchen,Home,Kitchen,1826.37
PROD0017,Machine Jacket,Clothing,Jacket,3632.55
PROD0018,Series Shirt,Clothing,Shirt,3267.07
PROD0019,  GLASS APPLIANCES  ,Home,Appliances,743.92
PROD0020,Always Decor,Home,Decor,960.64
PROD0021,Begin Jacket,Clothing,Jacket,4576.09
PROD0022,Back Jacket,Clothing,Jacket,4726.52
PROD0023,Arm Decor,Home,Decor,2394.82
PROD0024,Could Laptop,Electronics,Laptop,1205.51
PROD0025,  STUDY BIOGRAPHY  ,Books,Biography,1395.85
PROD0026,Enter Headphones,Electronics,Headphones,3770.16
PROD0027,Open Appliances,Home,Appliances,4707.43
PROD0028,Avoid Laptop,Electronics,Laptop,3135.78
PROD0029,Paper Kitchen,Home,Kitchen,3213.48
PROD0030,Term Biography,Books,Biography,671.71
PROD0031,Drive Mobile,Electronics,Mobile,2513.86
PROD0032,Whether Laptop,Electronics,Laptop,764.75
PROD0033,Evening Biography,Books,Biography,3741.39
PROD0034,Involve Education,Books,Education,3309.12
PROD0035,Important Comics,Books,Comics,1470.73
PROD0036,Little Kitchen,Home,Kitchen,4757.72
PROD0037,Professor Furniture,Home,Furniture,1899.94
PROD0038,Interview Furniture,Home,Furniture,1030.06
PROD0039,  LEAD HEADPHONES  ,Electronics,Headphones,3233.52
PROD0040,Four Mobile,Electronics,Mobile,1293.49
PROD0041,  adult jeans  ,Clothing,Jeans,1115.07
PROD0042,Improve Jeans,Clothing,Jeans,823.02
PROD0043,Report Camera,Electronics,Camera,808.97
PROD0044,By Jacket,Clothing,Jacket,638.64
PROD0045,  nor laptop  ,Electronics,Laptop,1265.86
PROD0046,  ACCORDING FURNITURE  ,Home,Furniture,3734.42
PROD0047,Put Mobile,Electronics,Mobile,3912.28
PROD0048,Service Headphones,Electronics,Headphones,4732.54
PROD0049,Present Camera,Electronics,Camera,4823.73
PROD0050,At Headphones,Electronics,Headphones,2188.74
PROD0051,Something Headphones,Electronics,Headphones,2273.46
PROD0052,Skill Camera,Electronics,Camera,421.84
PROD0053,Pay Decor,Home,Decor,3027.22
PROD0054,Answer Appliances,Home,Appliances,2207.98
PROD0055,School Laptop,Electronics,Laptop,4451.65
PROD0056,Thus Biography,Books,Biography,2053.78
PROD0057,Baby Camera,Electronics,Camera,3359.03
PROD0058,Help Kitchen,Home,Kitchen,2423.91
PROD0059,  WITHOUT MOBILE  ,Electronics,Mobile,3720.1
PROD0060,Morning Shirt,Clothing,Shirt,2851.77
PROD0061,Born Furniture,Home,Furniture,4380.68
PROD0062,Figure Fiction,Books,Fiction,3042.01
PROD0063,Stop Furniture,Home,Furniture,1142.42
PROD0064,Rich Education,Books,Education,1815.56
PROD0065,Fish Furniture,Home,Furniture,2913.09
PROD0066,Policy Fiction,Books,Fiction,3323.37
PROD0067,  before furniture  ,Home,Furniture,1614.02
PROD0068,  father decor  ,Home,Decor,2874.97
PROD0069,  southern fiction  ,Books,Fiction,250.22
PROD0070,With Shoes,Clothing,Shoes,1770.39
PROD0071,Left Decor,Home,Decor,3906.49
PROD0072,  i mobile  ,Electronics,Mobile,343.84
PROD0073,Indicate Camera,Electronics,Camera,2177.67
PROD0074,Term Comics,Books,Comics,3799.22
PROD0075,Recent Camera,Electronics,Camera,1487.91
PROD0076,  ALLOW BIOGRAPHY  ,Books,Biography,3036.69
PROD0077,Matter Laptop,Electronics,Laptop,1135.05
PROD0078,Close Jacket,Clothing,Jacket,687.92
PROD0079,  NONE COMICS  ,Books,Comics,3547.99
PROD0080,Discussion Furniture,Home,Furniture,3736.0
PROD0081,Century Fiction,Books,Fiction,481.53
PROD0082,Skin Appliances,Home,Appliances,3576.54
PROD0083,  INCLUDE BIOGRAPHY  ,Books,Biography,1691.36
PROD0084,  style biography  ,Books,Biography,1292.25
PROD0085,Subject Fiction,Books,Fiction,1620.35
PROD0086,Time Kitchen,Home,Kitchen,923.85
PROD0087,Offer Laptop,Electronics,Laptop,1811.94
PROD0088,  FIND JEANS  ,Clothing,Jeans,950.15
PROD0089,  protect shirt  ,Clothing,Shirt,2521.17
PROD0090,Charge Biography,Books,Biography,3173.37
PROD0091,  FIRE SHOES  ,Clothing,Shoes,1583.82
PROD0092,Research Furniture,Home,Furniture,463.53
PROD0093,  VERY COMICS  ,Books,Comics,1506.68
PROD0094,Who Headphones,Electronics,Headphones,2816.15
PROD0095,Stuff Headphones,Electronics,Headphones,2901.12
PROD0096,Trial Jacket,Clothing,Jacket,2556.7
PROD0097,  shoulder headphones  ,Electronics,Headphones,1782.85
PROD0098,  raise laptop  ,Electronics,Laptop,4955.83
PROD0099,Hour Jacket,Clothing,Jacket,1486.18
PROD0100,Activity Biography,Books,Biography,356.59
PROD0101,On Furniture,Home,Furniture,2834.02
PROD0102,Two Biography,Books,Biography,4272.67
PROD0103,  one jacket  ,Clothing,Jacket,4592.06
PROD0104,  chance appliances  ,Home,Appliances,515.12
PROD0105,Candidate Biography,Books,Biography,3383.57
PROD0106,Analysis Headphones,Electronics,Headphones,189.33
PROD0107,Accept Kitchen,Home,Kitchen,1774.49
PROD0108,Page Education,Books,Education,774.07
PROD0109,Pick Camera,Electronics,Camera,595.59
PROD0110,Indeed Camera,Electronics,Camera,3128.35
PROD0111,  note education  ,Books,Education,3878.38
PROD0112,  OFFICER SHOES  ,Clothing,Shoes,3625.97
PROD0113,Your Biography,Books,Biography,3940.62
PROD0114,Bed Jeans,Clothing,Jeans,4062.26
PROD0115,Focus Education,Books,Education,4740.94
PROD0116,Develop Comics,Books,Comics,3912.81
PROD0117,Smile Education,Books,Education,4026.17
PROD0118,  SITE JACKET  ,Clothing,Jacket,1918.94
PROD0119,Well Mobile,Electronics,Mobile,3839.27
PROD0120,She Appliances,Home,Appliances,822.01
PROD0121,Guy Fiction,Books,Fiction,1187.99
PROD0122,Development Biography,Books,Biography,2132.99
PROD0123,Itself Biography,Books,Biography,4973.17
PROD0124,  western kitchen  ,Home,Kitchen,4211.96
PROD0125,  RACE KITCHEN  ,Home,Kitchen,4165.83
PROD0126,Today Shoes,Clothing,Shoes,125.73
PROD0127,Music Mobile,Electronics,Mobile,4191.32
PROD0128,Change Fiction,Books,Fiction,1264.44
PROD0129,College Mobile,Electronics,Mobile,3230.86
PROD0130,  create fiction  ,Books,Fiction,3024.02
PROD0131,Do Laptop,Electronics,Laptop,1527.23
PROD0132,Practice Camera,Electronics,Camera,2141.18
PROD0133,  they camera  ,Electronics,Camera,2585.91
PROD0134,Entire Headphones,Electronics,Headphones,313.32
PROD0135,Daughter Biography,Books,Biography,179.59
PROD0136,Building Camera,Electronics,Camera,3319.81
PROD0137,  COURSE CAMERA  ,Electronics,Camera,1758.88
PROD0138,Remain Shoes,Clothing,Shoes,2444.8
PROD0139,  successful jeans  ,Clothing,Jeans,2342.63
PROD0140,  OUR KITCHEN  ,Home,Kitchen,305.34
PROD0141,Together Appliances,Home,Appliances,2760.85
PROD0142,Arm Furniture,Home,Furniture,1036.41
PROD0143,Today Furniture,Home,Furniture,1726.43
PROD0144,Society Camera,Electronics,Camera,2060.11
PROD0145,Work Comics,Books,Comics,1015.4
PROD0146,Often Biography,Books,Biography,2644.45
PROD0147,  main headphones  ,Electronics,Headphones,4129.47
PROD0148,  QUITE DECOR  ,Home,Decor,1548.64
PROD0149,  OFTEN COMICS  ,Books,Comics,2290.94
PROD0150,Baby Appliances,Home,Appliances,4902.13
PROD0151,Fill Mobile,Electronics,Mobile,2090.43
PROD0152,  remain shirt  ,Clothing,Shirt,3928.43
PROD0153,  audience laptop  ,Electronics,Laptop,1895.01
PROD0154,Enough Fiction,Books,Fiction,3427.4
PROD0155,Billion Decor,Home,Decor,476.74
PROD0156,Decade Jacket,Clothing,Jacket,3282.85
PROD0157,  SHE SHIRT  ,Clothing,Shirt,2636.95
PROD0158,Partner Camera,Electronics,Camera,3549.79
PROD0159,Message Jacket,Clothing,Jacket,4993.28
PROD0160,  GIVE SHIRT  ,Clothing,Shirt,946.02
PROD0161,Heavy Fiction,Books,Fiction,4841.05
PROD0162,Career Decor,Home,Decor,2794.99
PROD0163,Remain Decor,Home,Decor,3587.86
PROD0164,Reality Jacket,Clothing,Jacket,694.68
PROD0165,Easy Jeans,Clothing,Jeans,2520.71
PROD0166,Black Decor,Home,Decor,4916.76
PROD0167,  FEEL SHIRT  ,Clothing,Shirt,3612.97
PROD0168,President Comics,Books,Comics,4134.36
PROD0169,Available Laptop,Electronics,Laptop,3247.46
PROD0170,We Comics,Books,Comics,1788.12
PROD0171,Daughter Jeans,Clothing,Jeans,4562.49
PROD0172,Friend Mobile,Electronics,Mobile,1590.21
PROD0173,Mention Jacket,Clothing,Jacket,1204.8
PROD0174,Little Furniture,Home,Furniture,3211.78
PROD0175,Get Kitchen,Home,Kitchen,3110.7
PROD0176,Practice Laptop,Electronics,Laptop,2945.17
PROD0177,Receive Jacket,Clothing,Jacket,2861.73
PROD0178,  follow mobile  ,Electronics,Mobile,2926.18
PROD0179,Rule Shoes,Clothing,Shoes,248.4
PROD0180,Pattern Decor,Home,Decor,4042.97
PROD0181,Claim Biography,Books,Biography,3474.21
PROD0182,Others Shoes,Clothing,Shoes,2375.77
PROD0183,Our Kitchen,Home,Kitchen,3619.98
PROD0184,  HIS APPLIANCES  ,Home,Appliances,2852.09
PROD0185,System Kitchen,Home,Kitchen,1410.61
PROD0186,  FOUR JEANS  ,Clothing,Jeans,1982.33
PROD0187,Later Education,Books,Education,4521.32
PROD0188,  CONCERN DECOR  ,Home,Decor,4980.25
PROD0189,Above Comics,Books,Comics,2537.11
PROD0190,Form Headphones,Electronics,Headphones,4836.76
PROD0191,  EMPLOYEE JACKET  ,Clothing,Jacket,3027.84
PROD0192,Stock Biography,Books,Biography,4251.14
PROD0193,Do Education,Books,Education,3664.79
PROD0194,  SEEM BIOGRAPHY  ,Books,Biography,2852.9
PROD0195,  sister decor  ,Home,Decor,3845.58
PROD0196,  PUT FURNITURE  ,Home,Furniture,1928.67
PROD0197,Least Decor,Home,Decor,1075.38
PROD0198,  FACTOR FICTION  ,Books,Fiction,1731.9
PROD0199,  though comics  ,Books,Comics,784.93
PROD0200,Here Kitchen,Home,Kitchen,3120.85
PROD0201,Center Decor,Home,Decor,2597.6
PROD0202,Respond Biography,Books,Biography,181.52
PROD0203,Significant Furniture,Home,Furniture,2960.14
PROD0204,Glass Headphones,Electronics,Headphones,3312.4
PROD0205,Understand Shirt,Clothing,Shirt,935.51
PROD0206,Media Education,Books,Education,1286.76
PROD0207,  MAINTAIN LAPTOP  ,Electronics,Laptop,842.01
PROD0208,Like Shoes,Clothing,Shoes,3096.24
PROD0209,Her Fiction,Books,Fiction,2641.55
PROD0210,Stage Appliances,Home,Appliances,1637.39
PROD0211,Focus Shoes,Clothing,Shoes,1777.4
PROD0212,Message Decor,Home,Decor,1042.09
PROD0213,Ok Jacket,Clothing,Jacket,1201.85
PROD0214,Boy Decor,Home,Decor,3482.18
PROD0215,Continue Biography,Books,Biography,2846.39
PROD0216,  race decor  ,Home,Decor,1960.5
PROD0217,Policy Biography,Books,Biography,4042.62
PROD0218,Beat Furniture,Home,Furniture,3599.29
PROD0219,Thought Appliances,Home,Appliances,3761.96
PROD0220,Fast Jeans,Clothing,Jeans,1428.55
PROD0221,  town kitchen  ,Home,Kitchen,1272.48
PROD0222,The Laptop,Electronics,Laptop,357.21
PROD0223,Challenge Biography,Books,Biography,592.67
PROD0224,Vote Shirt,Clothing,Shirt,4891.76
PROD0225,Nothing Shoes,Clothing,Shoes,4415.17
PROD0226,Debate Comics,Books,Comics,3803.96
PROD0227,Everyone Decor,Home,Decor,389.9
PROD0228,Similar Laptop,Electronics,Laptop,3643.28
PROD0229,Various Laptop,Electronics,Laptop,4204.26
PROD0230,Produce Headphones,Electronics,Headphones,1012.93
PROD0231,  ball furniture  ,Home,Furniture,625.77
PROD0232,Short Decor,Home,Decor,3242.43
PROD0233,Bag Education,Books,Education,2393.3
PROD0234,Wait Shirt,Clothing,Shirt,3682.48
